167.3577048204 199.0228334439 1147.4013793077
189.9014046294 232.6624279580 1115.2180849846
228.6279864382 189.8709973586 896.2829337753
182.1875428232 175.2377993414 949.3565754074
323.3970075359 745.2323251028 123.1525849333
325.8268457015 1017.7376118758 157.2174599948
247.7558898286 1204.1676763914 117.8583513520
337.9373335913 521.6002383029 335.2443456778
964.1690306129 177.1609662346 277.4519207245
798.3714916692 282.0943914637 177.3160344391
1163.0912690504 102.2632624869 114.4273860347
873.5048809693 273.3544568070 205.9225797958
